"track.name","artists","track.album.name","track.album.release_date","track.popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","track.duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6","genre_7"
"BABY GODDAMN","Tananai","BABY GODDAMN","2021-03-26",62,0.0317,0.819,0.764,2.73e-05,0.0579,-3.311,0.1,114.033,10,0,149605,0.885,4,"3yWHQ4n4ARLDfYTuT2NhnN","italian pop",NA,NA,NA,NA,NA,NA
"Mon amour","zzoilo","Mon amour","2020-12-30",59,0.403,0.76,0.616,0.00053,0.107,-8.557,0.0842,116.027,2,1,173836,0.168,4,"064ikblBFGS6HL35D71LZy","latin pop",NA,NA,NA,NA,NA,NA
"Lambo Depresse","Vlesma","Lambo Depresse","2020-02-03",2,0.00833,0.812,0.572,0,0.127,-7.374,0.0488,105.012,6,0,157714,0.78,4,"0MmGwsPur2ZcgNcusUVTD0",NA,NA,NA,NA,NA,NA,NA
"Rojo","J Balvin","Rojo","2020-02-27",66,0.15,0.652,0.595,0.000115,0.0842,-4.04,0.113,172.27,11,1,150853,0.444,4,"4uziEsK1yiqdauKVDPsmVG","reggaeton","reggaeton colombiano","trap latino","urbano latino",NA,NA,NA
"Quevedo: Bzrp Music Sessions, Vol. 52","Bizarrap","Quevedo: Bzrp Music Sessions, Vol. 52","2022-07-06",90,0.0125,0.621,0.782,0.033,0.23,-5.548,0.044,128.033,2,1,198937,0.55,4,"2tTmW7RDtMQtBk7m2rYeSw","argentine hip hop","pop venezolano","trap argentino","trap latino","urbano latino",NA,NA
"Alcool & Acqua (feat. PSICOLOGI)","Bresh","ORO BLU","2022-03-04",60,0.198,0.703,0.706,0,0.121,-7.32,0.161,120.027,8,1,171437,0.705,4,"4UpCWcaJdu26OxLwxd3baF","italian hip hop","italian pop","rap genovese",NA,NA,NA,NA
"OSSA ROTTE","Rkomi","OSSA ROTTE","2022-06-16",40,0.0361,0.588,0.826,0,0.134,-4.211,0.242,93.146,1,1,205621,0.597,4,"4cvyHBayAxsUTXjv717mVL","italian hip hop","italian pop",NA,NA,NA,NA,NA
"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber","Justice","2021-03-19",84,0.321,0.677,0.696,0,0.42,-6.181,0.119,90.03,0,1,198081,0.464,4,"4iJyoBOLtHqaGxP12qzhQI","canadian pop","pop",NA,NA,NA,NA,NA
"Dove vai?","chiello","Dove vai?","2022-06-23",38,0.332,0.624,0.742,0,0.162,-6.353,0.0752,151.93,8,1,176318,0.85,4,"0e3n1N8wVe7FeGA5v0TNTJ","italian hip hop",NA,NA,NA,NA,NA,NA
"Amore (feat. Greg Willen)","Bresh","ORO BLU","2022-03-04",49,0.0271,0.637,0.66,0,0.0881,-8.357,0.0473,126.124,10,1,165825,0.347,4,"4gKkcGeCIH2JSfcJ07iJ0P","italian hip hop","italian pop","rap genovese",NA,NA,NA,NA
"Jackie Chan","Preme","Light Of Day","2018-05-04",52,0.538,0.749,0.641,0,0.0775,-5.268,0.0444,140.08,6,1,223173,0.409,4,"6Tb8Fse6LfJ0CRZVlNjHF5","canadian hip hop","canadian trap",NA,NA,NA,NA,NA
"Pochette (feat. Noyz Narcos)","Gemitaiz","Eclissi","2022-05-12",59,0.163,0.705,0.556,0.0682,0.0771,-7.3,0.247,86.176,1,1,181430,0.45,4,"7px3nxEoSvAHCvAZq3r38W","italian hip hop",NA,NA,NA,NA,NA,NA
"Note killer","Club Dogo","Mi fist (Remastered version)","2004",58,0.0658,0.731,0.732,0,0.331,-5.99,0.388,176.095,1,0,264689,0.613,4,"0QTPU4o8visZ7pz55n8Mco","italian hip hop","italian pop","italian underground hip hop",NA,NA,NA,NA
"Il meglio di te","Bresh","Il meglio di te","2022-07-22",53,0.104,0.722,0.592,9.89e-06,0.293,-6.161,0.0805,81.989,4,0,157013,0.552,4,"2eTXrwuncNqUOAxw2YJ8lv","italian hip hop","italian pop","rap genovese",NA,NA,NA,NA
"CONSUMAZIONE PERSONALE","Lil Busso","CONSUMAZIONE PERSONALE","2022-05-20",27,0.238,0.896,0.596,0,0.112,-9.906,0.288,104.01,2,1,138281,0.499,4,"0aRJUjFAbeWss7p50XOL69","italian hip hop",NA,NA,NA,NA,NA,NA
"Capri Sun","Capo Plaza","Hustle Mixtape","2022-06-03",72,0.0454,0.683,0.852,0,0.246,-2.755,0.0636,93.068,0,1,199680,0.448,4,"1XpmMe95dk9jh3zuOMpeU2","italian hip hop","italian pop","trap italiana",NA,NA,NA,NA
