"track.name","artists","track.album.name","track.album.release_date","track.popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","track.duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6","genre_7","genre_8","genre_9","genre_10"
"Waltz in A-Flat Major, Op. 42","Frédéric Chopin","Chopin: Waltzes","1964",29,0.993,0.34,0.0585,0.889,0.124,-26.336,0.0399,140.534,8,1,226173,0.223,4,"6RF4smE4ADAJRk85Hntzk9","classical","early romantic era","polish classical",NA,NA,NA,NA,NA,NA,NA
"Nocturne No. 14 In F Sharp Minor, Op. 48 No. 2","Frédéric Chopin","Chopin: Nocturnes","2005-01-01",42,0.994,0.268,0.00685,0.945,0.0838,-31.6,0.0358,74.692,1,1,396106,0.0818,1,"5z7VyrtLbDCV3YgomB2JD6","classical","early romantic era","polish classical",NA,NA,NA,NA,NA,NA,NA
"Ballade No. 3 In A Flat, Op. 47","Frédéric Chopin","Chopin: Ballades Nos.1-4","1999-01-01",30,0.99,0.315,0.118,0.885,0.127,-20.964,0.0357,70.014,8,1,398000,0.0573,4,"1W95M3atXl4laofKSCT0F6","classical","early romantic era","polish classical",NA,NA,NA,NA,NA,NA,NA
"Ballade No. 1 in G Minor, Op. 23","Frédéric Chopin","Chopin: 10 Mazurkas; Prélude Op.45; Ballade Op.23; Scherzo Op.31","1972-01-01",18,0.991,0.346,0.0963,0.901,0.0764,-21.331,0.0412,135.444,7,0,551906,0.0497,3,"5w1AEuhps0j8JS7d6FWBDW","classical","early romantic era","polish classical",NA,NA,NA,NA,NA,NA,NA
"Nocturne No. 7 In C Sharp Minor, Op. 27 No. 1 - 2005 Recording","Frédéric Chopin","Chopin: Nocturnes","2005-01-01",45,0.993,0.286,0.0111,0.888,0.1,-25.448,0.0357,73.031,9,1,253093,0.0469,4,"4FFaOQHk9j1QknVLyIPUxl","classical","early romantic era","polish classical",NA,NA,NA,NA,NA,NA,NA
"Violin Concerto in A Minor, Op.28 (2008 - Remaster): III. Moderato - Allegretto","Itzhak Perlman","Korngold & Goldmark: Violin Concertos","2008-02-04",1,0.93,0.417,0.216,0.0822,0.0523,-16.881,0.0483,117.154,4,0,775546,0.188,4,"2JN8C900R1pgdQeLSrkMLs","classical","classical performance","violin",NA,NA,NA,NA,NA,NA,NA
"Drop the Bomb","Mattei & Omich","Drop the Bomb","2013-08-12",39,0.000102,0.776,0.716,0.799,0.117,-7.325,0.0635,121.993,4,0,406859,0.567,4,"5Bi80GhP7fd0bBcNTZRYnm","disco house","funky house",NA,NA,NA,NA,NA,NA,NA,NA
"Children's Corner, L. 113: IV. The Snow Is Dancing","Claude Debussy","Debussy: Images 1 & 2; Children's Corner","1971-01-01",15,0.994,0.296,0.0339,0.875,0.0763,-30.222,0.0464,129.359,10,1,157480,0.0394,4,"0H7Fsc60NWitW3yPMgRkBC","classical","impressionism","post-romantic era",NA,NA,NA,NA,NA,NA,NA
"Piano Concerto No. 4 in G Major, Op. 58: I. Allegro moderato - Live at Philharmonie, Berlin, 1992","Ludwig van Beethoven","Beethoven: Piano Concertos Nos.3 & 4","2001-01-01",0,0.978,0.31,0.123,0.92,0.0565,-23.776,0.0332,106.847,7,1,1046319,0.0751,4,"6f0dym1Mp12KWlwuDJLn9L","classical","classical era","early romantic era","german romanticism",NA,NA,NA,NA,NA,NA
"Rolling In the Deep (The Aretha Version)","Aretha Franklin","The Glory of Aretha: 1980-2014","2021-02-18",14,0.0479,0.651,0.663,0,0.0745,-5.39,0.0479,107.943,8,1,242000,0.583,4,"0FWVi4C5pTuCNaLJBxXTHI","classic soul","jazz blues","memphis soul","neo soul","soul","southern soul","vocal jazz",NA,NA,NA
"A Horse with No Name","America","America","1972",80,0.686,0.654,0.506,0.0155,0.155,-17.18,0.0535,123.179,11,0,252239,0.831,4,"54eZmuggBFJbV7k248bTTt","album rock","classic rock","folk rock","heartland rock","mellow gold","soft rock",NA,NA,NA,NA
"Instant Crush (feat. Julian Casablancas)","Daft Punk","Random Access Memories","2013-05-20",78,0.0422,0.775,0.585,0.619,0.077,-9.516,0.0271,109.942,10,0,337560,0.518,4,"2cGxRwrMyEAp8dEbuZaVv6","electro","filter house","rock",NA,NA,NA,NA,NA,NA,NA
"Nocturne No. 10 In A Flat, Op. 32 No. 2","Frédéric Chopin","Chopin: Nocturnes","2005-01-01",44,0.995,0.204,0.0432,0.918,0.123,-27.113,0.0393,75.597,8,1,277773,0.145,3,"4KrOzPa98JgmFJVaOwLvdJ","classical","early romantic era","polish classical",NA,NA,NA,NA,NA,NA,NA
"Italove","EMMANUELLE","L'uomo d'affari / Italove","2016-05-27",54,0.455,0.786,0.603,0.438,0.0688,-9.624,0.0521,120.411,11,1,319458,0.7,4,"4ll1UfyVm9we6xoTNGnMYO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Violin Concerto in A Minor, Op.28 (2008 - Remaster): I. Allegro moderato","Itzhak Perlman","Korngold & Goldmark: Violin Concertos","2008-02-04",2,0.954,0.297,0.171,0.0385,0.0957,-18.05,0.0412,104.139,0,1,878320,0.138,4,"0EfkZ0aCXmlOeFvK0iTdZ6","classical","classical performance","violin",NA,NA,NA,NA,NA,NA,NA
"Symphony No. 9 in D Minor, Op. 125 ""Choral"": I. Allegro ma non troppo, un poco maestoso","Ludwig van Beethoven","Beethoven: The 9 Symphonies","1963-01-01",25,0.888,0.177,0.233,0.883,0.0682,-15.481,0.0396,74.565,10,1,926493,0.0937,4,"6CHxtUsbnSeMOW0z58bZIc","classical","classical era","early romantic era","german romanticism",NA,NA,NA,NA,NA,NA
"Scherzo No. 4 In E, Op. 54","Frédéric Chopin","Chopin: Scherzi; Berceuse; Barcarolle","1991-01-01",7,0.993,0.321,0.0486,0.903,0.0853,-24.364,0.036,97.917,4,1,636000,0.0381,3,"6qt7zRho0zdjcP29vjHsVX","classical","early romantic era","polish classical",NA,NA,NA,NA,NA,NA,NA
"Riding With the King","Eric Clapton","Riding With The King","2000-06-13",58,0.383,0.46,0.796,0,0.258,-6.202,0.0335,204.032,9,1,264240,0.826,4,"0U6wNkZaQUTBrCLbhbbRgS","album rock","blues rock","classic rock","electric blues","mellow gold","rock","singer-songwriter","soft rock",NA,NA
"My Love","Route 94","My Love","2014-02-28",77,0.000132,0.813,0.616,0.705,0.0658,-7.571,0.0495,119.977,8,1,259933,0.744,4,"4N1MFKjziFHH4IS3RYYUrU","house","uk dance",NA,NA,NA,NA,NA,NA,NA,NA
"6 Épigraphes antiques, L.131: 1. Pour invoquer Pan, dieu du vent d'été","Claude Debussy","Debussy: Complete Piano Works","2018-02-16",1,0.993,0.497,0.0187,0.904,0.133,-31.559,0.0555,72.227,5,1,130840,0.39,4,"6ZcTBrijpMEbq6Q8UI8gl9","classical","impressionism","post-romantic era",NA,NA,NA,NA,NA,NA,NA
